"distcode","county_cn","county_en","province_cn","year","month_count","co2_million_tons","co2_10000_tons"
"350102","鼓楼区","Gulou District","福建省","2013","12","2.88397294393931","288.397294393931"
"350102","鼓楼区","Gulou District","福建省","2014","12","3.12503515622758","312.503515622758"
"350102","鼓楼区","Gulou District","福建省","2015","12","3.12473157354043","312.473157354043"
"350102","鼓楼区","Gulou District","福建省","2016","12","3.07892452335091","307.892452335091"
"350102","鼓楼区","Gulou District","福建省","2017","12","3.16598161302444","316.598161302444"
"350102","鼓楼区","Gulou District","福建省","2018","12","3.27176892011296","327.176892011295"
"350102","鼓楼区","Gulou District","福建省","2019","12","3.47890971334518","347.890971334518"
"350102","鼓楼区","Gulou District","福建省","2020","12","3.48943438070958","348.943438070958"
"350102","鼓楼区","Gulou District","福建省","2021","12","3.82005634668623","382.005634668623"
"350103","台江区","Taijiang District","福建省","2013","12","2.88397294393931","288.397294393931"
"350103","台江区","Taijiang District","福建省","2014","12","3.12503515622758","312.503515622758"
"350103","台江区","Taijiang District","福建省","2015","12","3.12473157354043","312.473157354043"
"350103","台江区","Taijiang District","福建省","2016","12","3.07892452335091","307.892452335091"
"350103","台江区","Taijiang District","福建省","2017","12","3.16598161302444","316.598161302444"
"350103","台江区","Taijiang District","福建省","2018","12","3.27176892011296","327.176892011295"
"350103","台江区","Taijiang District","福建省","2019","12","3.47890971334518","347.890971334518"
"350103","台江区","Taijiang District","福建省","2020","12","3.48943438070958","348.943438070958"
"350103","台江区","Taijiang District","福建省","2021","12","3.82005634668623","382.005634668623"
"350104","仓山区","Cangshan District","福建省","2013","12","2.82930962094996","282.930962094996"
"350104","仓山区","Cangshan District","福建省","2014","12","3.01364690465489","301.364690465489"
"350104","仓山区","Cangshan District","福建省","2015","12","3.06727573394234","306.727573394234"
"350104","仓山区","Cangshan District","福建省","2016","12","2.92241543061197","292.241543061197"
"350104","仓山区","Cangshan District","福建省","2017","12","2.99080286383854","299.080286383854"
"350104","仓山区","Cangshan District","福建省","2018","12","2.83442962389253","283.442962389253"
"350104","仓山区","Cangshan District","福建省","2019","12","3.12793378425936","312.793378425936"
"350104","仓山区","Cangshan District","福建省","2020","12","3.00736188191687","300.736188191687"
"350104","仓山区","Cangshan District","福建省","2021","12","3.23467648824009","323.467648824009"
"350105","马尾区","Mawei District","福建省","2013","12","2.82169023763971","282.169023763971"
"350105","马尾区","Mawei District","福建省","2014","12","3.04455683817748","304.455683817748"
"350105","马尾区","Mawei District","福建省","2015","12","2.84461360651847","284.461360651847"
"350105","马尾区","Mawei District","福建省","2016","12","2.25369335122883","225.369335122883"
"350105","马尾区","Mawei District","福建省","2017","12","2.57728196624197","257.728196624197"
"350105","马尾区","Mawei District","福建省","2018","12","2.58730604637395","258.730604637395"
"350105","马尾区","Mawei District","福建省","2019","12","2.94717255606927","294.717255606927"
"350105","马尾区","Mawei District","福建省","2020","12","2.86644163123332","286.644163123332"
"350105","马尾区","Mawei District","福建省","2021","12","3.3527724484078","335.27724484078"
"350111","晋安区","Jin'an District","福建省","2013","12","2.45880966286698","245.880966286698"
"350111","晋安区","Jin'an District","福建省","2014","12","2.57505028737052","257.505028737051"
"350111","晋安区","Jin'an District","福建省","2015","12","2.68250070442909","268.250070442909"
"350111","晋安区","Jin'an District","福建省","2016","12","2.99714370591382","299.714370591382"
"350111","晋安区","Jin'an District","福建省","2017","12","3.10160037782454","310.160037782454"
"350111","晋安区","Jin'an District","福建省","2018","12","3.04681252164675","304.681252164675"
"350111","晋安区","Jin'an District","福建省","2019","12","3.36019911874238","336.019911874238"
"350111","晋安区","Jin'an District","福建省","2020","12","3.32384903738804","332.384903738804"
"350111","晋安区","Jin'an District","福建省","2021","12","3.55653735071403","355.653735071403"
"350121","闽侯县","Minhou County","福建省","2013","12","2.88919878439726","288.919878439726"
"350121","闽侯县","Minhou County","福建省","2014","12","3.12509831336269","312.509831336269"
