"year","county_count","total_co2_million_tons","total_sequestration_million_tons","total_net_co2_million_tons"
"1997","85","68.2469536474022",,
"1998","85","64.9067306330657",,
"1999","85","70.8635769362045",,
"2000","85","75.6621733825237","344.834238644949","-269.172065262425"
"2001","85","73.3086907875334","394.3084414531","-320.999750665567"
"2002","85","79.722718574163","373.604081645511","-293.881363071348"
"2003","85","92.9814091107926","399.514912395193","-306.5335032844"
"2004","85","102.044673572679","394.775683218932","-292.731009646254"
"2005","85","118.937646032333","355.779397845911","-236.841751813577"
"2006","85","134.531684418835","352.136433532002","-217.604749113168"
"2007","85","142.991283055936","378.271935427161","-235.280652371226"
"2008","85","154.479923956884","369.438291112424","-214.95836715554"
"2009","85","169.284284805245","381.082579704747","-211.798294899501"
"2010","85","188.393095297696","347.338503910132","-158.945408612435"
"2011","85","224.190228865013","352.080155242482","-127.889926377469"
"2012","85","229.215136737934","371.099551540115","-141.884414802181"
"2013","85","233.921608300936","376.125216752071","-142.203608451135"
"2014","85","236.961897537717","360.337968872242","-123.376071334525"
"2015","85","217.892824499329","354.052404507134","-136.159580007805"
"2016","85","224.925959014103","343.057906735755","-118.131947721652"
"2017","85","229.985366653213","375.958018628767","-145.972651975554"
