"distcode","county_cn","county_en","city_cn","city_en","province_cn","province_en","year","co2_million_tons","sequestration_million_tons","net_co2_million_tons","sequestration_offset_ratio"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","1997","0.51863865705551",,,
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","1998","0.480628769413479",,,
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","1999","0.468895929199509",,,
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2000","0.488827553327518","0.0355415338743318","0.453286019453186","0.0727077138602265"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2001","0.464075596634806","0.0351239449597697","0.428951651675036","0.0756858262198383"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2002","0.494650673632581","0.039203813530683","0.455446860101898","0.0792555547186073"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2003","0.563342211755009","0.0417330889160361","0.521609122838973","0.0740812388015854"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2004","0.612269866383512","0.0427758741840426","0.569493992199469","0.0698644119736063"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2005","0.704279219782432","0.0393344972905283","0.664944722491904","0.0558507140146484"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2006","0.771848421131711","0.0417635081380543","0.730084912993657","0.054108432426174"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2007","0.78884337298888","0.0432942174540364","0.745549155534844","0.054883160506245"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2008","0.830268909046074","0.045960438675571","0.784308470370503","0.0553560878587837"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2009","0.908531489035476","0.0367617150102968","0.871769774025179","0.0404627857745736"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2010","0.996699792726406","0.037421470571226","0.95927832215518","0.0375453781011252"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2011","1.14037807686399","0.0352208560496925","1.1051572208143","0.0308852447835098"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2012","1.13853915401888","0.0354444001579548","1.10309475386093","0.0311314723194553"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2013","1.15122729375443","0.0336904287461572","1.11753686500827","0.0292647932592743"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2014","1.06979047152468","0.0407948715062144","1.02899560001847","0.0381335154799734"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2015","0.92306757533394","0.0413993530426687","0.881668222291271","0.0448497533105218"
