"year","county_count","total_co2_million_tons"
"1997","85","68.2469536474022"
"1998","85","64.9067306330657"
"1999","85","70.8635769362045"
"2000","85","75.6621733825237"
"2001","85","73.3086907875334"
"2002","85","79.722718574163"
"2003","85","92.9814091107926"
"2004","85","102.044673572679"
"2005","85","118.937646032333"
"2006","85","134.531684418835"
"2007","85","142.991283055936"
"2008","85","154.479923956884"
"2009","85","169.284284805245"
"2010","85","188.393095297696"
"2011","85","224.190228865013"
"2012","85","229.215136737934"
"2013","85","233.921608300936"
"2014","85","236.961897537717"
"2015","85","217.892824499329"
"2016","85","224.925959014103"
"2017","85","229.985366653213"
