"distcode","county_cn","county_en","city_cn","city_en","province_cn","province_en","year","sequestration_million_tons","sequestration_10000_tons"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2000","0.0355415338743318","3.55415338743318"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2001","0.0351239449597697","3.51239449597697"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2002","0.039203813530683","3.9203813530683"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2003","0.0417330889160361","4.17330889160361"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2004","0.0427758741840426","4.27758741840426"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2005","0.0393344972905283","3.93344972905283"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2006","0.0417635081380543","4.17635081380543"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2007","0.0432942174540364","4.32942174540364"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2008","0.045960438675571","4.5960438675571"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2009","0.0367617150102968","3.67617150102968"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2010","0.037421470571226","3.7421470571226"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2011","0.0352208560496925","3.52208560496925"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2012","0.0354444001579548","3.54444001579548"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2013","0.0336904287461572","3.36904287461572"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2014","0.0407948715062144","4.07948715062144"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2015","0.0413993530426687","4.13993530426687"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2016","0.0390350536042293","3.90350536042293"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","2017","0.0398185337623859","3.98185337623859"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2000","0.00815298615703948","0.815298615703948"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2001","0.00960227941329745","0.960227941329745"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2002","0.0110605238561119","1.10605238561119"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2003","0.0107569941253311","1.07569941253311"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2004","0.0110515724270083","1.10515724270083"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2005","0.010687825203841","1.0687825203841"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2006","0.00876818303893765","0.876818303893765"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2007","0.011294884301639","1.1294884301639"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2008","0.0107488567049946","1.07488567049946"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2009","0.0136645318243465","1.36645318243465"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2010","0.0120402818487279","1.20402818487279"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2011","0.0124976106181015","1.24976106181015"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2012","0.011481233749048","1.1481233749048"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2013","0.0127637077061679","1.27637077061679"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2014","0.0123397426268504","1.23397426268504"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2015","0.0115731880051904","1.15731880051904"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2016","0.010316754084124","1.0316754084124"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","2017","0.0129126246320791","1.29126246320791"
"350104","仓山区","Cangshan District","福州市","Fuzhou City","福建省","Fujian Province","2000","0.220172206001582","22.0172206001582"
"350104","仓山区","Cangshan District","福州市","Fuzhou City","福建省","Fujian Province","2001","0.246498561318266","24.6498561318266"
"350104","仓山区","Cangshan District","福州市","Fuzhou City","福建省","Fujian Province","2002","0.252830389089152","25.2830389089152"
"350104","仓山区","Cangshan District","福州市","Fuzhou City","福建省","Fujian Province","2003","0.253729569454375","25.3729569454375"
"350104","仓山区","Cangshan District","福州市","Fuzhou City","福建省","Fujian Province","2004","0.225996203294582","22.5996203294582"
"350104","仓山区","Cangshan District","福州市","Fuzhou City","福建省","Fujian Province","2005","0.205017718365936","20.5017718365936"
"350104","仓山区","Cangshan District","福州市","Fuzhou City","福建省","Fujian Province","2006","0.186745012560701","18.6745012560701"
"350104","仓山区","Cangshan District","福州市","Fuzhou City","福建省","Fujian Province","2007","0.198347475190283","19.8347475190283"
"350104","仓山区","Cangshan District","福州市","Fuzhou City","福建省","Fujian Province","2008","0.196720208517301","19.6720208517301"
"350104","仓山区","Cangshan District","福州市","Fuzhou City","福建省","Fujian Province","2009","0.199724178473137","19.9724178473137"
"350104","仓山区","Cangshan District","福州市","Fuzhou City","福建省","Fujian Province","2010","0.177106973282698","17.7106973282698"
"350104","仓山区","Cangshan District","福州市","Fuzhou City","福建省","Fujian Province","2011","0.182186123721891","18.2186123721891"
"350104","仓山区","Cangshan District","福州市","Fuzhou City","福建省","Fujian Province","2012","0.177529747444423","17.7529747444423"
