"distcode","county_cn","county_en","city_cn","city_en","province_cn","province_en","sequestration_mt_2000","sequestration_mt_2001","sequestration_mt_2002","sequestration_mt_2003","sequestration_mt_2004","sequestration_mt_2005","sequestration_mt_2006","sequestration_mt_2007","sequestration_mt_2008","sequestration_mt_2009","sequestration_mt_2010","sequestration_mt_2011","sequestration_mt_2012","sequestration_mt_2013","sequestration_mt_2014","sequestration_mt_2015","sequestration_mt_2016","sequestration_mt_2017"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","0.0355415338743318","0.0351239449597697","0.039203813530683","0.0417330889160361","0.0427758741840426","0.0393344972905283","0.0417635081380543","0.0432942174540364","0.045960438675571","0.0367617150102968","0.037421470571226","0.0352208560496925","0.0354444001579548","0.0336904287461572","0.0407948715062144","0.0413993530426687","0.0390350536042293","0.0398185337623859"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","0.00815298615703948","0.00960227941329745","0.0110605238561119","0.0107569941253311","0.0110515724270083","0.010687825203841","0.00876818303893765","0.011294884301639","0.0107488567049946","0.0136645318243465","0.0120402818487279","0.0124976106181015","0.011481233749048","0.0127637077061679","0.0123397426268504","0.0115731880051904","0.010316754084124","0.0129126246320791"
"350104","仓山区","Cangshan District","福州市","Fuzhou City","福建省","Fujian Province","0.220172206001582","0.246498561318266","0.252830389089152","0.253729569454375","0.225996203294582","0.205017718365936","0.186745012560701","0.198347475190283","0.196720208517301","0.199724178473137","0.177106973282698","0.182186123721891","0.177529747444423","0.190806405194225","0.178283393316136","0.168984886822247","0.17109386686402","0.19756268309346"
"350105","马尾区","Mawei District","福州市","Fuzhou City","福建省","Fujian Province","0.693843349910725","0.819372462897052","0.803471561210784","0.877114158483394","0.790073460546773","0.756860344837551","0.704515786360247","0.792083442456564","0.790899688255807","0.813514742864786","0.693135027072561","0.734369032482693","0.719881731551904","0.786311391919269","0.771836147364508","0.735590098686835","0.717552301223541","0.749583313774885"
"350111","晋安区","Jin'an District","福州市","Fuzhou City","福建省","Fujian Province","1.5517103032908","1.83636665348561","1.77751006033977","1.89124718819257","1.7756946247347","1.66646698419744","1.5601072845894","1.7353178151654","1.6851004923466","1.76009872382531","1.52219799738817","1.60210369558194","1.63830383158063","1.68541374175468","1.65356066672067","1.5514341802542","1.51822195762483","1.61537649608456"
"350121","闽侯县","Minhou County","福州市","Fuzhou City","福建省","Fujian Province","5.40611717147127","6.37394264567677","6.1221414775068","6.5185988438194","6.20015299690687","5.73305218118695","5.50396662996705","6.10112460360236","5.8805967346381","6.15730683941125","5.39416650218253","5.57793417342133","5.73856543945822","5.93376084452357","5.74183902962429","5.45786212925396","5.3587319381736","5.80090798957459"
"350122","连江县","Lianjiang County","福州市","Fuzhou City","福建省","Fujian Province","8.61509920668768","10.1515186911422","10.0584671031985","10.7798619134755","10.0265483558885","9.35614113634055","8.93403038882544","10.0500461129481","9.8058962057004","10.0215666473807","8.7732971857214","9.09629750817086","9.11462222933509","9.66898964258248","9.54011563578304","8.8632672918032","8.74951702130983","9.48713352870911"
"350123","罗源县","Luoyuan County","福州市","Fuzhou City","福建省","Fujian Province","3.04618433994395","3.63394615558028","3.57948474038734","3.76763942254622","3.56019664147306","3.2665072036541","3.13093933313816","3.55176371553739","3.37617341657254","3.57174689219509","3.12333425700755","3.20492798959272","3.2967026414419","3.45290941185078","3.40082124952159","3.16009271567951","3.11654083830415","3.36250839429239"
"350124","闽清县","Minqing County","福州市","Fuzhou City","福建省","Fujian Province","3.65326081343541","4.32708601721066","4.10525814023794","4.30350212540991","4.22243204952627","3.82991102306265","3.7296562376573","4.11229537962975","3.98992069864484","4.15559632731954","3.74282422528997","3.76685255900164","3.94221548883886","4.05037611538365","3.89606959464652","3.76567595252816","3.69722207809379","3.99579322220649"
"350125","永泰县","Yongtai County","福州市","Fuzhou City","福建省","Fujian Province","6.23361196164196","7.26328223137517","7.00905736548061","7.56446090622845","7.18063282565391","6.67168239107582","6.5363241342724","6.86325029281347","6.92989707666448","7.18980388176098","6.39882991923981","6.57101969725743","6.68854548817125","6.99709438531545","6.58368236350147","6.41095730969014","6.39911194701793","6.82098432060266"
"350128","平潭县","Pingtan County","福州市","Fuzhou City","福建省","Fujian Province","2.46537114355292","2.74072335536469","2.98492138116503","2.79312509178207","2.68709074069329","2.67174175074295","2.42922991150164","2.77874530514035","2.93888310793155","2.88930826246158","2.53918188508534","2.69002986613357","2.60548275509491","2.75061841012432","2.63330828504931","2.64660878369038","2.72750912218925","2.85577867857833"
"350181","福清市","Fuqing City","福州市","Fuzhou City","福建省","Fujian Province","6.01062430593377","7.06640072033902","7.09125373670515","7.44037808488002","6.81302852409533","6.67011407961656","6.3080871338432","6.82309249087059","6.94779009686456","7.02378238836039","6.31504698800046","6.65579737366034","6.46222380352601","6.93496619205111","6.62561450636347","6.52214997416988","6.37285826357298","6.72531425007547"
"350182","长乐市","Changle City","福州市","Fuzhou City","福建省","Fujian Province","3.38072409914762","3.9205233441337","3.91457348035624","4.19049290637199","3.80337839237438","3.67315522398736","3.46717721598071","3.83846571373469","3.93449708455151","4.01527736573641","3.50797039355039","3.66532488416417","3.51285778731943","3.74901233246035","3.66766974497181","3.53971643896256","3.45088085568043","3.77702471584315"
"350203","思明区","Siming District","厦门市","Xiamen City","福建省","Fujian Province","0.286871408775422","0.342378335087852","0.316463558739735","0.381546337769219","0.337737991596319","0.335339685780722","0.328236041316439","0.336772792719444","0.340566362675041","0.341629950395355","0.319520760752809","0.322889607200112","0.321426227753176","0.348668151607139","0.329536031887271","0.343595962344697","0.327752106397924","0.350324749914923"
"350205","海沧区","Haicang District","厦门市","Xiamen City","福建省","Fujian Province","0.529981128364186","0.621409868030288","0.601336656892152","0.675023965135118","0.606705673245893","0.570775522931384","0.564455494869025","0.570757294656409","0.586755850764841","0.596482930095692","0.563197939909117","0.558945036020369","0.555431770609603","0.564864922708088","0.538402630008111","0.554376825488872","0.511453789748369","0.552021560462096"
"350206","湖里区","Huli District","厦门市","Xiamen City","福建省","Fujian Province","0.0885796331665855","0.102821373662685","0.101915106218338","0.109098902680364","0.0951834178795695","0.0865824239659761","0.0793199712648124","0.0760266286213892","0.0729836204146334","0.0739918009891616","0.067650662941938","0.0693872766743176","0.0751826025377232","0.0804553706116792","0.0756812204175708","0.0811988523039022","0.0758070720817146","0.0790874191714211"
"350211","集美区","Jimei District","厦门市","Xiamen City","福建省","Fujian Province","0.786668098978749","0.917854128817003","0.901822730010344","0.987511831670802","0.917316317204827","0.871490365266953","0.84228917477959","0.866779861057097","0.877858366639143","0.895629039673418","0.854193852362831","0.845160801722663","0.839543970507866","0.866862963053996","0.815984660468382","0.830303014628451","0.764415455262892","0.824006181008609"
