"year","county_count","total_sequestration_million_tons"
"2000","85","344.834238644949"
"2001","85","394.3084414531"
"2002","85","373.604081645511"
"2003","85","399.514912395193"
"2004","85","394.775683218932"
"2005","85","355.779397845911"
"2006","85","352.136433532002"
"2007","85","378.271935427161"
"2008","85","369.438291112424"
"2009","85","381.082579704747"
"2010","85","347.338503910132"
"2011","85","352.080155242482"
"2012","85","371.099551540115"
"2013","85","376.125216752071"
"2014","85","360.337968872242"
"2015","85","354.052404507134"
"2016","85","343.057906735755"
"2017","85","375.958018628767"
