"province_year","province_cn","distcode","county_cn","county_en","year_month","year","month","co2_million_tons","co2_10000_tons"
"福建省2013","福建省","350102","鼓楼区","Gulou District","201301","2013","1","0.240331078661609","24.0331078661609"
"福建省2013","福建省","350103","台江区","Taijiang District","201301","2013","1","0.240331078661609","24.0331078661609"
"福建省2013","福建省","350104","仓山区","Cangshan District","201301","2013","1","0.235637608802484","23.5637608802484"
"福建省2013","福建省","350105","马尾区","Mawei District","201301","2013","1","0.235723056053839","23.5723056053839"
"福建省2013","福建省","350111","晋安区","Jin'an District","201301","2013","1","0.237952987875647","23.7952987875647"
"福建省2013","福建省","350121","闽侯县","Minhou County","201301","2013","1","0.241592871272409","24.1592871272409"
"福建省2013","福建省","350122","连江县","Lianjiang County","201301","2013","1","0.242385464967381","24.2385464967381"
"福建省2013","福建省","350123","罗源县","Luoyuan County","201301","2013","1","0.242970374790827","24.2970374790827"
"福建省2013","福建省","350124","闽清县","Minqing County","201301","2013","1","0.238510380119846","23.8510380119846"
"福建省2013","福建省","350125","永泰县","Yongtai County","201301","2013","1","0.239128638698429","23.9128638698429"
"福建省2013","福建省","350128","平潭县","Pingtan County","201301","2013","1","0.238510380119846","23.8510380119846"
"福建省2013","福建省","350181","福清市","Fuqing City","201301","2013","1","0.241528652286771","24.1528652286771"
"福建省2013","福建省","350182","长乐市","Changle City","201301","2013","1","0.239128638698429","23.9128638698429"
"福建省2013","福建省","350203","思明区","Siming District","201301","2013","1","0.213424685264399","21.3424685264399"
"福建省2013","福建省","350205","海沧区","Haicang District","201301","2013","1","0.191237876488105","19.1237876488105"
"福建省2013","福建省","350206","湖里区","Huli District","201301","2013","1","0.187408500949251","18.7408500949251"
"福建省2013","福建省","350211","集美区","Jimei District","201301","2013","1","0.19424129400017","19.424129400017"
"福建省2013","福建省","350212","同安区","Tong'an District","201301","2013","1","0.194168150493293","19.4168150493293"
"福建省2013","福建省","350213","翔安区","Xiang'an District","201301","2013","1","0.191237876488105","19.1237876488105"
"福建省2013","福建省","350302","城厢区","Chengxiang District","201301","2013","1","0.171677188718759","17.1677188718759"
"福建省2013","福建省","350303","涵江区","Hanjiang District","201301","2013","1","0.183961259848998","18.3961259848998"
"福建省2013","福建省","350304","荔城区","Licheng District","201301","2013","1","0.180403714781561","18.0403714781561"
"福建省2013","福建省","350305","秀屿区","Xiuyu District","201301","2013","1","0.180597263274323","18.0597263274323"
"福建省2013","福建省","350322","仙游县","Xianyou County","201301","2013","1","0.17607267944249","17.607267944249"
"福建省2013","福建省","350402","梅列区","Melie district","201301","2013","1","0.242693101644239","24.2693101644239"
"福建省2013","福建省","350403","三元区","Sanyuan District","201301","2013","1","0.224118522160443","22.4118522160443"
"福建省2013","福建省","350421","明溪县","Mingxi County","201301","2013","1","0.227376545084913","22.7376545084913"
"福建省2013","福建省","350423","清流县","Qingliu County","201301","2013","1","0.223188924236591","22.3188924236591"
"福建省2013","福建省","350424","宁化县","Ninghua County","201301","2013","1","0.227363470752925","22.7363470752925"
"福建省2013","福建省","350425","大田县","Datian County","201301","2013","1","0.186022023430727","18.6022023430727"
"福建省2013","福建省","350426","尤溪县","Youxi County","201301","2013","1","0.186606934170449","18.6606934170449"
"福建省2013","福建省","350427","沙县","Sha County","201301","2013","1","0.186806968975927","18.6806968975927"
"福建省2013","福建省","350428","将乐县","Jiangle County","201301","2013","1","0.182732621742976","18.2732621742976"
"福建省2013","福建省","350429","泰宁县","Taining County","201301","2013","1","0.223404260839266","22.3404260839266"
"福建省2013","福建省","350430","建宁县","Jianning County","201301","2013","1","0.267078431409425","26.7078431409425"
"福建省2013","福建省","350481","永安市","Yong'an City","201301","2013","1","0.183805062401801","18.3805062401801"
"福建省2013","福建省","350502","鲤城区","Licheng District","201301","2013","1","0.200024207838514","20.0024207838514"
"福建省2013","福建省","350503","丰泽区","Fengze District","201301","2013","1","0.196665330493836","19.6665330493836"
"福建省2013","福建省","350504","洛江区","Luojiang District","201301","2013","1","0.199926309322363","19.9926309322363"
"福建省2013","福建省","350505","泉港区","Quangang District","201301","2013","1","0.199926309322363","19.9926309322363"
"福建省2013","福建省","350521","惠安县","Hui'an County","201301","2013","1","0.200024207838514","20.0024207838514"
"福建省2013","福建省","350524","安溪县","Anxi County","201301","2013","1","0.199926309322363","19.9926309322363"
