"year","county_cn","official_area_cn","source_title","source_url","variable_group","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","per_capita_gdp_yuan","resident_population_10k","urban_population_10k","rural_population_10k","urbanization_rate_pct","fixed_asset_investment_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_100m_yuan","real_estate_development_growth_pct","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_100m_yuan","retail_sales_growth_pct"
"2013","安溪县","安溪县","22-6 固定资产投资（不含农户）（2013年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2014/cn/html/2206.htm","fixed_asset_investment",,,,,,,,,,,,"180.44","29.5","137.35","27",,,,,,,,,,,,,,
"2013","安溪县","安溪县","22-1 地区生产总值（2013年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2014/cn/html/2201.htm","gdp","381.23","33.81","212.05","188.28","23.77","135.37","38376",,,,,,,,,,,,,,,,,,,,,,
"2013","安溪县","安溪县","22-4 年末常住人口数（2013年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2014/cn/html/2204.htm","population",,,,,,,,"99.5","38.2","61.3","38.4",,,,,,,,,,,,,,,,,,
"2013","安溪县","安溪县","22-20 社会消费品零售总额（2013年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2014/cn/html/2220.htm","retail_sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1415910","14.1"
"2013","仓山区","仓山区","22-6 固定资产投资（不含农户）（2013年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2014/cn/html/2206.htm","fixed_asset_investment",,,,,,,,,,,,"374.93","13.2","86.71","-23.2",,,,,,,,,,,,,,
"2013","仓山区","仓山区","22-1 地区生产总值（2013年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2014/cn/html/2201.htm","gdp","356.6","2.78","203.97","187.27","16.7","149.85","45427",,,,,,,,,,,,,,,,,,,,,,
"2013","仓山区","仓山区","22-4 年末常住人口数（2013年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2014/cn/html/2204.htm","population",,,,,,,,"79","79",,"100",,,,,,,,,,,,,,,,,,
"2013","仓山区","仓山区","22-20 社会消费品零售总额（2013年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2014/cn/html/2220.htm","retail_sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2865826","17.2"
"2013","城厢区","城厢区","22-6 固定资产投资（不含农户）（2013年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2014/cn/html/2206.htm","fixed_asset_investment",,,,,,,,,,,,"160.24","24.9","74.54","59.8",,,,,,,,,,,,,,
"2013","城厢区","城厢区","22-1 地区生产总值（2013年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2014/cn/html/2201.htm","gdp","233.39","12.15","102.3","70.32","31.98","118.94","55504",,,,,,,,,,,,,,,,,,,,,,
