"year","unit_id","county_cn","co2_million_tons","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","resident_population_10k","urban_population_10k","rural_population_10k","fixed_asset_investment_100m_yuan","real_estate_development_100m_yuan","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","retail_sales_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_growth_pct","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_growth_pct","per_capita_gdp_yuan","urbanization_rate_pct","co2_ton_per_10000_yuan","secondary_industry_share","tertiary_industry_share","industry_share","budget_revenue_gdp_ratio","budget_expenditure_gdp_ratio","co2_per_capita_ton","retail_per_capita_yuan"
"2013","350102","鼓楼区","2.88397294393931","901.16",,"198.85","63.88","134.97","702.31","70.5","70.5",,"357.53","306.19",,,,,,,,,,"7342878","14.9","23.6",,,,"15.1","127824.113475177","100","0.320028956449389","0.220660038173021","0.0708864130676018","0.14977362510542",,,"4.09074176445292","1041542978.7234"
"2014","350102","鼓楼区","3.12503515622758","1011.22",,"220.8","790.43","70.66","151","71.5","71.5",,"400.57","348.39",,,,,,,,,,"8408118","12","13.8",,,,"14.5","141429.370629371","100","0.309036130241449","0.218350111746208","0.781659777298708","0.0698759913767528",,,"4.37067854017843","1175960559.44056"
"2015","350102","鼓楼区","3.12473157354043","1132.57",,"232.69","899.88","71.83","161.79","72","72",,"449.05","375.57","375105","54999","49552","108890","342602","35199","89518","6121","1336","9185501","12.1","7.8","70.73","21.23","49.49","14","157301.388888889","100","0.275897434466782","0.205453084577554","0.794546915422446","0.0634221284335626","0.0331198071642371","0.0302499624747256","4.3399049632506","1275764027.77778"
"2016","350102","鼓楼区","3.07892452335091","1283.16",,"235.39","1047.77","66.62","172.94","72.8","72.8",,"459.18","379.06","402507","81996","16577","114088","346042","33434","92374","6806","3544","10178992","2.3","0.9",,,,"11.1","176258.241758242","100","0.239948605267536","0.183445556282926","0.816554443717073","0.051918700707628","0.031368418591602","0.0269679541132828","4.22929192767982","1398213186.81319"
"2017","350102","鼓楼区","3.16598161302444","1433.42",,"229.82","1203.6","65.2","169.88","73.5","73.5",,"525.49","460.11","413965","89813","768","105550","392872","42520","100990","10975","7026","10676665","14.5","21.4","6.1","8.8","5.5","8.6","195023.129251701","100","0.220869083243183","0.160329840521271","0.839670159478729","0.0454856217996121","0.0288795328654546","0.0274080171896583","4.307457976904","1452607482.9932"
"2018","350102","鼓楼区","3.27176892011296","1613.3",,"257.7","1355.6","68.8","194.44","74","74",,,,"345736","94286","138","89903","387929","39124","101163","16928","4478","11358983",,,"8.3","11","7.9","11.8","218013.513513513","100","0.202799784300066","0.159734705262505","0.840265294737495","0.0426455092047356","0.0214303601314077","0.0240456827620405","4.421309351504","1534997702.7027"
"2019","350102","鼓楼区","3.47890971334518","1916.75",,"373.84","1542.91","110.5","263.51","73","73",,,,"300739","86845","81008",,"379484","48641","101196","12776","5243","12802198",,,"8.8","5.6","9.4","6.9","262568.493150685","100","0.181500441546638","0.195038476587974","0.804961523412026","0.057649667405765","0.0156900482587714","0.0197983044215469","4.76562974430847","1753725753.42466"
"2020","350102","鼓楼区","3.48943438070958","2069.86",,"311.62","1758.24","42.13","269.57","67","67",,,,"308384","90274","77973",,"354892","45834","101475","14278","6475","13050714",,,"2.5","2.7","1.1","1.9","308934.328358209","100","0.168583110969321","0.15055124501174","0.84944875498826","0.0203540336061376","0.0148987854251012","0.017145700675408","5.20811101598445","1947867761.19403"
"2021","350102","鼓楼区","3.82005634668623","2362.19",,"403.73","1958.45","96.39","307.53","67.3","67.3","0","244.99","133.72","350091","118855","96045","0","309401","40426","102222","7944","3456","1377.1","11","61","10","6.5","10.9","10.6","350994.056463596","100","0.161716726710647","0.17091343202706","0.829082334613219","0.0408053543533755","0.0148206113818109","0.0130980573112239","5.67616099061847","204621.099554235"
"2013","350103","台江区","2.88397294393931","307.06",,"67.97","24.45","43.52","239.09","46","46",,"299.14","185.85",,,,,,,,,,"3574498","17.8","34",,,,"17.1","66752.1739130435","100","0.939221306565267","0.22135738943529","0.0796261317006448","0.141731257734645",,,"6.26950639986806","777064782.608696"
"2014","350103","台江区","3.12503515622758","342.1",,"75.02","267.08","26.99","49.02","46.5","46.5",,"339.16","220.75",,,,,,,,,,"3665731","13.4","18.8",,,,"12.6","73569.8924731183","100","0.913485868526039","0.219292604501608","0.780707395498392","0.0788950599239988",,,"6.72050571231738","788329247.311828"
"2015","350103","台江区","3.12473157354043","369.64",,"77.85","291.79","26.19","52.65","47","47",,"389.57","278.15","139694","17452","28601","32022","146033","17161","34682","2400","179","4003530","14.9","26","30.92","2.81","28.12","14.9","78646.8085106383","100","0.84534454429727","0.210610323558056","0.789389676441944","0.07085272156693","0.037791905637918","0.0395068174439996","6.64836505008602","851814893.617021"
"2016","350103","台江区","3.07892452335091","402.83",,"79.55","323.28","24.41","56.18","47.8","47.8",,"261.29","156.5","147439","34563","14243","34315","147893","19924","36651","2950","2232","3891391","-32.9","-43.7",,,,"9.5","84274.0585774059","100","0.764323541779637","0.197477844251918","0.802522155748082","0.0605962813097336","0.0366007993446367","0.0367135019735372","6.44126469320274","814098535.564854"
"2017","350103","台江区","3.16598161302444","433.47",,"87.06","346.41","25.23","62.38","48.3","48.3",,"171.27","97.97","138636","45549","29","29629","189943","26486","47843","3673","24","4060302","-34.4","-37.4","6.2","5.4","7.5","6","89745.3416149068","100","0.73038079060245","0.200844349089902","0.799155650910098","0.0582047200498304","0.0319828361824348","0.0438191801047362","6.55482735615826","840642236.024845"
"2018","350103","台江区","3.27176892011296","475.63",,"94.3","381.33","26.65","68.23","48.6","48.6",,,,"152600","48259","98","23342","180487","25796","50620","4131","120","4131748",,,"8.5","-26.9","10.9","4.1","97866.2551440329","100","0.687881109289355","0.198263355969977","0.801736644030023","0.0560309484262978","0.0320837625885667","0.0379469335407775","6.73203481504724","850153909.465021"
"2019","350103","台江区","3.47890971334518","538.6",,"87.55","451.05","5.82","81.96","48","48",,,,"170946","47451","34437",,"211978","29419","61532","5280","3865","2369600",,,"5","2.2","8.2","12.1","112208.333333333","100","0.645917139499662","0.162551058299294","0.837448941700705","0.0108057927961381","0.0317389528406981","0.0393572224285184","7.24772856946912","493666666.666667"
