unit_i,county_i,unit_j,county_j,distance_km,weight_inverse_distance
350102,鼓楼区,350103,台江区,3.1389868078674943,0.2552417285480123
350102,鼓楼区,350104,仓山区,6.512734710754537,0.12302058264502577
350102,鼓楼区,350105,马尾区,22.522942312670168,0.035572635564528145
350102,鼓楼区,350111,晋安区,11.861625679399241,0.06754558273753292
350102,鼓楼区,350121,闽侯县,15.986642488524716,0.050116865958853576
350102,鼓楼区,350122,连江县,42.9069506910022,0.018672975026806607
350102,鼓楼区,350123,罗源县,48.24042279900419,0.016608486664135235
350102,鼓楼区,350124,闽清县,53.240487580416364,0.015048705508553889
350102,鼓楼区,350125,永泰县,59.76389179187228,0.01340609513047923
350102,鼓楼区,350128,平潭县,77.61836981525349,0.010322304122548776
350102,鼓楼区,350181,福清市,45.36694978127765,0.017660442736226266
350102,鼓楼区,350182,长乐市,33.817332814032255,0.023692005018120597
350102,鼓楼区,350203,思明区,213.06177952099628,0.0037604136252440894
350102,鼓楼区,350205,海沧区,218.79187662738278,0.0036619294604525224
350102,鼓楼区,350206,湖里区,212.43029398598145,0.003771592100618092
350102,鼓楼区,350211,集美区,204.99122530347714,0.0039084620209639594
350102,鼓楼区,350212,同安区,189.8514463351097,0.004220143876677639
350102,鼓楼区,350213,翔安区,184.64534901998118,0.0043391313292316155
350102,鼓楼区,350302,城厢区,79.79965223401189,0.010040149252530477
350102,鼓楼区,350303,涵江区,57.77740025023768,0.013867020933088982
350102,鼓楼区,350304,荔城区,78.34885903786048,0.010226063641109858
350102,鼓楼区,350305,秀屿区,95.28618429307821,0.008408358721398687
350102,鼓楼区,350322,仙游县,93.39328982159019,0.008578779270545508
350102,鼓楼区,350402_350403,三元区（含原梅列区）,173.48936552994584,0.004618152912613033
350102,鼓楼区,350421,明溪县,207.0697354683614,0.0038692299331783498
350102,鼓楼区,350423,清流县,239.70196792119322,0.003342485777976246
350102,鼓楼区,350424,宁化县,258.41298765455053,0.00310046498050075
350102,鼓楼区,350425,大田县,149.79147302850356,0.005348771879538481
350102,鼓楼区,350426,尤溪县,112.08901880838785,0.007147893944001151
350102,鼓楼区,350427,沙县,153.83876063382627,0.005208052999312434
350102,鼓楼区,350428,将乐县,202.4724014544265,0.003957084585228495
350102,鼓楼区,350429,泰宁县,229.63380496572333,0.0034890351568624624
350102,鼓楼区,350430,建宁县,259.30745141573686,0.003089770133311654
350102,鼓楼区,350481,永安市,198.5598706372063,0.004035057114805438
350102,鼓楼区,350502,鲤城区,151.4089023816544,0.005291633491338121
350102,鼓楼区,350503,丰泽区,146.56266369022316,0.005466606559655156
350102,鼓楼区,350504,洛江区,125.87091537668134,0.0063652545652173416
350102,鼓楼区,350505,泉港区,111.7889354127142,0.00716708157002793
350102,鼓楼区,350521,惠安县,131.94376011567485,0.006072287298975682
350102,鼓楼区,350524,安溪县,175.2644650178772,0.004571379706934792
350102,鼓楼区,350525,永春县,140.32062033606334,0.005709783899263398
350102,鼓楼区,350526,德化县,115.85657897205611,0.006915450342468261
350102,鼓楼区,350581,石狮市,163.3871817450695,0.004903692016547584
350102,鼓楼区,350582,晋江市,163.2859785806438,0.004906731280259983
350102,鼓楼区,350583,南安市,151.16986387773304,0.00530000092728483
350102,鼓楼区,350602,芗城区,238.00985997473424,0.003366248855465725
350102,鼓楼区,350603,龙文区,236.26269634260572,0.003391142279895434
350102,鼓楼区,350622,云霄县,305.61272204562033,0.002621619981546146
350102,鼓楼区,350623,漳浦县,270.79372117322146,0.0029587112110956012
350102,鼓楼区,350624,诏安县,329.03008978534075,0.002435036927024546
350102,鼓楼区,350625,长泰县,214.44806519003131,0.0037361046741994602
350102,鼓楼区,350626,东山县,325.9504645605896,0.002458043493846823
350102,鼓楼区,350627,南靖县,255.67197172962386,0.0031337045406634777
350102,鼓楼区,350628,平和县,287.38274140608695,0.002787921135449704
350102,鼓楼区,350629,华安县,219.8998464218164,0.003643478755290386
350102,鼓楼区,350681,龙海市,240.2293455970519,0.0033351479884285167
350102,鼓楼区,350702,延平区,118.90894571008585,0.00673793223836101
350102,鼓楼区,350721,顺昌县,171.84006278465415,0.0046624774557581005
350102,鼓楼区,350722,浦城县,223.10782044854426,0.0035910906982944096
350102,鼓楼区,350723,光泽县,259.25727403649284,0.0030903681360806494
350102,鼓楼区,350724,松溪县,176.26473143152026,0.004545438059120619
350102,鼓楼区,350725,政和县,139.97730806014522,0.005723787875569432
350102,鼓楼区,350781,邵武市,220.70170893964567,0.0036302411185615575
350102,鼓楼区,350782,武夷山市,222.58229689663924,0.0035995693723187734
350102,鼓楼区,350783,建瓯市,135.69921146876413,0.005904237836444102
350102,鼓楼区,350784,建阳市,190.0817069247627,0.0042150316918536206
350102,鼓楼区,350802,新罗区,246.48434262860673,0.0032505124268145703
350102,鼓楼区,350821,长汀县,294.14846457403377,0.0027237960255538022
350102,鼓楼区,350822,永定县,294.93088781576466,0.0027165700570161875
350102,鼓楼区,350823,上杭县,292.0763700666666,0.0027431196113079336
