"year","unit_id","county_cn","co2_million_tons","gdp_100m_yuan","resident_population_10k","per_capita_gdp_yuan","urbanization_rate_pct","secondary_industry_share","tertiary_industry_share","industry_share","retail_sales_100m_yuan","retail_per_capita_yuan","co2_ton_per_10000_yuan","co2_per_capita_ton"
"2013","350102","鼓楼区","2.88397294393931","901.16","70.5","127824.113475177","100","0.220660038173021","0.0708864130676018","0.14977362510542","7342878","1041542978.7234","0.320028956449389","4.09074176445292"
"2014","350102","鼓楼区","3.12503515622758","1011.22","71.5","141429.370629371","100","0.218350111746208","0.781659777298708","0.0698759913767528","8408118","1175960559.44056","0.309036130241449","4.37067854017843"
"2015","350102","鼓楼区","3.12473157354043","1132.57","72","157301.388888889","100","0.205453084577554","0.794546915422446","0.0634221284335626","9185501","1275764027.77778","0.275897434466782","4.3399049632506"
"2016","350102","鼓楼区","3.07892452335091","1283.16","72.8","176258.241758242","100","0.183445556282926","0.816554443717073","0.051918700707628","10178992","1398213186.81319","0.239948605267536","4.22929192767982"
"2017","350102","鼓楼区","3.16598161302444","1433.42","73.5","195023.129251701","100","0.160329840521271","0.839670159478729","0.0454856217996121","10676665","1452607482.9932","0.220869083243183","4.307457976904"
"2018","350102","鼓楼区","3.27176892011296","1613.3","74","218013.513513513","100","0.159734705262505","0.840265294737495","0.0426455092047356","11358983","1534997702.7027","0.202799784300066","4.421309351504"
"2019","350102","鼓楼区","3.47890971334518","1916.75","73","262568.493150685","100","0.195038476587974","0.804961523412026","0.057649667405765","12802198","1753725753.42466","0.181500441546638","4.76562974430847"
"2020","350102","鼓楼区","3.48943438070958","2069.86","67","308934.328358209","100","0.15055124501174","0.84944875498826","0.0203540336061376","13050714","1947867761.19403","0.168583110969321","5.20811101598445"
"2021","350102","鼓楼区","3.82005634668623","2362.19","67.3","350994.056463596","100","0.17091343202706","0.829082334613219","0.0408053543533755","1377.1","204621.099554235","0.161716726710647","5.67616099061847"
"2013","350103","台江区","2.88397294393931","307.06","46","66752.1739130435","100","0.22135738943529","0.0796261317006448","0.141731257734645","3574498","777064782.608696","0.939221306565267","6.26950639986806"
"2014","350103","台江区","3.12503515622758","342.1","46.5","73569.8924731183","100","0.219292604501608","0.780707395498392","0.0788950599239988","3665731","788329247.311828","0.913485868526039","6.72050571231738"
"2015","350103","台江区","3.12473157354043","369.64","47","78646.8085106383","100","0.210610323558056","0.789389676441944","0.07085272156693","4003530","851814893.617021","0.84534454429727","6.64836505008602"
"2016","350103","台江区","3.07892452335091","402.83","47.8","84274.0585774059","100","0.197477844251918","0.802522155748082","0.0605962813097336","3891391","814098535.564854","0.764323541779637","6.44126469320274"
