variable,coefficient,std_error,t_value,p_value
ln_gdp,0.05875102356105091,0.05111842578572107,1.1493120662072864,0.2504273243972239
ln_pop,0.019053395723346737,0.058172641087332826,0.327531901031319,0.7432656188052396
secondary_share,0.06245941107194598,0.10819621203405404,0.577279092287328,0.5637509351410157
urbanization,-0.10953390116893803,0.16739763907616081,-0.654333608128747,0.5128968979263819
ln_retail_pc,0.018834069029165786,0.016566998592639225,1.1368425562330782,0.2556041094979986
W_ln_gdp,0.009217827012042393,0.06616606357128221,0.139313516847074,0.8892024091396948
W_ln_pop,-0.14467405699348806,0.10618488312468406,-1.362473195206227,0.17304859785471916
W_secondary_share,-0.12304341698382286,0.17163786294978703,-0.7168780528327798,0.47344934514352954
W_urbanization,-0.16162779202369743,0.3188224238048365,-0.5069523971834429,0.612188219647376
W_ln_retail_pc,0.015127189970717471,0.010069465067877766,1.5022833754073164,0.13302394022829733
